Strain.Number,Strain.Name,Generations.Selection,Day,value,drug.pressure
18,CBW3,312,15,0.125,yes
18,CBW3,336,16,0.125,yes
18,CBW3,360,17,0.19,yes
18,CBW3,384,18,1,yes
18,CBW3,408,19,0.38,yes
18,CBW3,432,20,0.5,yes
19,CBW4-CJT,24,1,NA,yes
19,CBW4-CJT,48,2,0.38,yes
19,CBW4-CJT,72,3,0.38,yes
19,CBW4-CJT,96,6,0.38,yes
19,CBW4-CJT,120,7,12,yes
19,CBW4-CJT,144,8,12,yes
19,CBW4-CJT,168,9,24,yes
19,CBW4-CJT,192,10,6,yes
19,CBW4-CJT,216,11,64,yes
19,CBW4-CJT,240,12,12,yes
19,CBW4-CJT,264,13,64,yes
19,CBW4-CJT,288,14,NA,yes
19,CBW4-CJT,312,15,64,yes
19,CBW4-CJT,336,16,NA,yes
19,CBW4-CJT,360,17,12,yes
19,CBW4-CJT,384,18,64,yes
19,CBW4-CJT,408,19,24,yes
19,CBW4-CJT,432,20,48,yes
20,CBW5-RC,24,1,0.25,yes
20,CBW5-RC,48,2,0.38,yes
20,CBW5-RC,72,3,0.5,yes
20,CBW5-RC,96,6,0.38,yes
20,CBW5-RC,120,7,0.19,yes
20,CBW5-RC,144,8,0.19,yes
20,CBW5-RC,168,9,0.38,yes
20,CBW5-RC,192,10,0.19,yes
20,CBW5-RC,216,11,0.75,yes
20,CBW5-RC,240,12,0.19,yes
20,CBW5-RC,264,13,0.38,yes
20,CBW5-RC,288,14,0.19,yes
20,CBW5-RC,312,15,0.25,yes
20,CBW5-RC,336,16,0.25,yes
20,CBW5-RC,360,17,0.25,yes
20,CBW5-RC,384,18,0.75,yes
20,CBW5-RC,408,19,0.25,yes
20,CBW5-RC,432,20,0.25,yes
21,CBW6-CGM,24,1,0.25,yes
21,CBW6-CGM,48,2,0.38,yes
21,CBW6-CGM,72,3,0.5,yes
21,CBW6-CGM,96,6,0.5,yes
21,CBW6-CGM,120,7,0.19,yes
21,CBW6-CGM,144,8,0.25,yes
21,CBW6-CGM,168,9,0.19,yes
21,CBW6-CGM,192,10,0.25,yes
21,CBW6-CGM,216,11,0.38,yes
21,CBW6-CGM,240,12,0.25,yes
21,CBW6-CGM,264,13,0.25,yes
21,CBW6-CGM,288,14,0.25,yes
21,CBW6-CGM,312,15,0.25,yes
21,CBW6-CGM,336,16,0.25,yes
21,CBW6-CGM,360,17,16,yes
21,CBW6-CGM,384,18,32,yes
21,CBW6-CGM,408,19,32,yes
21,CBW6-CGM,432,20,48,yes
22,ND-1,24,1,NA,no
22,ND-1,48,2,NA,no
22,ND-1,72,3,NA,no
22,ND-1,96,6,NA,no
22,ND-1,120,7,NA,no
22,ND-1,144,8,NA,no
22,ND-1,168,9,NA,no
22,ND-1,192,10,NA,no
22,ND-1,216,11,NA,no
22,ND-1,240,12,NA,no
22,ND-1,264,13,NA,no
22,ND-1,288,14,NA,no
22,ND-1,312,15,NA,no
22,ND-1,336,16,NA,no
22,ND-1,360,17,NA,no
22,ND-1,384,18,NA,no
22,ND-1,408,19,NA,no
22,ND-1,432,20,NA,no
23,ND-2,24,1,NA,no
23,ND-2,48,2,NA,no
23,ND-2,72,3,NA,no
23,ND-2,96,6,NA,no
23,ND-2,120,7,NA,no
23,ND-2,144,8,NA,no
23,ND-2,168,9,NA,no
23,ND-2,192,10,NA,no
23,ND-2,216,11,NA,no
23,ND-2,240,12,NA,no
23,ND-2,264,13,NA,no
23,ND-2,288,14,NA,no
23,ND-2,312,15,NA,no
23,ND-2,336,16,NA,no
23,ND-2,360,17,NA,no
23,ND-2,384,18,NA,no
23,ND-2,408,19,NA,no
23,ND-2,432,20,NA,no
24,ND-3,24,1,NA,no
24,ND-3,48,2,NA,no
24,ND-3,72,3,NA,no
24,ND-3,96,6,NA,no
24,ND-3,120,7,NA,no
24,ND-3,144,8,NA,no
24,ND-3,168,9,NA,no
24,ND-3,192,10,NA,no
24,ND-3,216,11,NA,no
24,ND-3,240,12,NA,no
24,ND-3,264,13,NA,no
24,ND-3,288,14,NA,no
24,ND-3,312,15,NA,no
24,ND-3,336,16,NA,no
24,ND-3,360,17,NA,no
24,ND-3,384,18,NA,no
24,ND-3,408,19,NA,no
24,ND-3,432,20,NA,no
25,ND-4,24,1,NA,no
25,ND-4,48,2,NA,no
25,ND-4,72,3,NA,no
25,ND-4,96,6,NA,no
25,ND-4,120,7,NA,no
25,ND-4,144,8,NA,no
25,ND-4,168,9,NA,no
25,ND-4,192,10,NA,no
25,ND-4,216,11,NA,no
25,ND-4,240,12,NA,no
25,ND-4,264,13,NA,no
25,ND-4,288,14,NA,no
25,ND-4,312,15,NA,no
25,ND-4,336,16,NA,no
25,ND-4,360,17,NA,no
25,ND-4,384,18,NA,no
25,ND-4,408,19,NA,no
25,ND-4,432,20,NA,no
26,ND-5,24,1,NA,no
26,ND-5,48,2,NA,no
26,ND-5,72,3,NA,no
26,ND-5,96,6,NA,no
26,ND-5,120,7,NA,no
26,ND-5,144,8,NA,no
26,ND-5,168,9,NA,no
26,ND-5,192,10,NA,no
26,ND-5,216,11,NA,no
26,ND-5,240,12,NA,no
26,ND-5,264,13,NA,no
26,ND-5,288,14,NA,no
26,ND-5,312,15,NA,no
26,ND-5,336,16,NA,no
26,ND-5,360,17,NA,no
26,ND-5,384,18,NA,no
26,ND-5,408,19,NA,no
26,ND-5,432,20,NA,no
